,movieId,title,genres,rating,years
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.860411899313501,1995
1,2,Jumanji (1995),Adventure|Children|Fantasy,3.128834355828221,1995
2,3,Grumpier Old Men (1995),Comedy|Romance,2.8541666666666665,1995
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.0,1995
4,5,Father of the Bride Part II (1995),Comedy,2.824324324324324,1995
5,6,Heat (1995),Action|Crime|Thriller,4.047244094488189,1995
6,7,Sabrina (1995),Comedy|Romance,3.2037037037037037,1995
7,8,Tom and Huck (1995),Adventure|Children,2.6875,1995
8,9,Sudden Death (1995),Action,2.0833333333333335,1995
9,10,GoldenEye (1995),Action|Adventure|Thriller,3.238372093023256,1995
10,11,"American President, The (1995)",Comedy|Drama|Romance,3.264705882352941,1995
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.3863636363636362,1995
12,13,Balto (1995),Adventure|Animation|Children,3.1176470588235294,1995
13,14,Nixon (1995),Drama,2.923076923076923,1995
14,15,Cutthroat Island (1995),Action|Adventure|Romance,2.2777777777777777,1995
15,16,Casino (1995),Crime|Drama,3.991304347826087,1995
16,17,Sense and Sensibility (1995),Drama|Romance,3.768292682926829,1995
17,18,Four Rooms (1995),Comedy,3.225,1995
18,19,Ace Ventura: When Nature Calls (1995),Comedy,2.5873015873015874,1995
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,3.15,1995
20,21,Get Shorty (1995),Comedy|Crime|Thriller,3.182926829268293,1995
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.5277777777777777,1995
22,23,Assassins (1995),Action|Crime|Thriller,3.0,1995
23,24,Powder (1995),Drama|Sci-Fi,3.09375,1995
24,25,Leaving Las Vegas (1995),Drama|Romance,3.395348837209302,1995
25,26,Othello (1995),Drama,2.7857142857142856,1995
26,27,Now and Then (1995),Children|Drama,3.8,1995
27,28,Persuasion (1995),Drama|Romance,3.75,1995
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.716666666666667,1995
29,31,Dangerous Minds (1995),Drama,3.142857142857143,1995
30,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.888888888888889,12
31,33,Wings of Courage (1995),Adventure|Romance|IMAX,3.0,1995
32,34,Babe (1995),Children|Drama,3.1372549019607843,1995
33,35,Carrington (1995),Drama|Romance,4.25,1995
34,36,Dead Man Walking (1995),Crime|Drama,3.5,1995
35,38,It Takes Two (1995),Children|Comedy,2.4,1995
36,39,Clueless (1995),Comedy|Romance,3.2551020408163267,1995
37,40,"Cry, the Beloved Country (1995)",Drama,3.1666666666666665,1995
38,41,Richard III (1995),Drama|War,3.5416666666666665,1995
39,42,Dead Presidents (1995),Action|Crime|Drama,3.0,1995
40,43,Restoration (1995),Drama,3.2,1995
41,44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.513888888888889,1995
42,45,To Die For (1995),Comedy|Drama|Thriller,3.6176470588235294,1995
43,46,How to Make an American Quilt (1995),Drama|Romance,3.357142857142857,1995
44,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.173444976076555,7
45,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,3.357142857142857,1995
46,49,When Night Is Falling (1995),Drama|Romance,3.5,1995
47,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.149321266968326,1995
48,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.264705882352941,1995
49,54,"Big Green, The (1995)",Children|Comedy,2.2,1995
50,56,Kids of the Round Table (1995),Adventure|Children|Fantasy,2.5,1995
51,57,Home for the Holidays (1995),Drama,3.8,1995
