,movieId,title,rating,timestamp
0,176,Living in Oblivion (1995),5.0,2015-02-08 01:25:32
1,182,Moonlight and Valentino (1995),5.0,2015-03-22 23:11:24
2,183,Mute Witness (1994),5.0,2015-03-24 01:10:08
3,214,Before the Rain (Pred dozhdot) (1994),5.0,2015-03-12 22:41:48
4,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",5.0,2015-01-12 03:48:52
5,556,"War Room, The (1993)",5.0,2015-01-31 22:01:00
6,823,"Collector, The (La collectionneuse) (1967)",5.0,2015-01-10 21:13:12
7,964,Angel and the Badman (1947),5.0,2015-02-28 06:27:24
8,1014,Pollyanna (1960),5.0,2015-01-27 23:29:32
9,1547,Shiloh (1997),5.0,2015-03-02 20:39:30
10,1622,Kicked in the Head (1997),5.0,2015-03-25 22:33:23
11,1869,Black Dog (1998),5.0,2015-01-17 21:20:54
12,1929,Grand Hotel (1932),5.0,2015-03-06 23:24:58
13,2075,Mephisto (1981),5.0,2015-02-28 23:49:22
14,2128,Safe Men (1998),5.0,2015-03-24 20:20:08
15,549,Thirty-Two Short Films About Glenn Gould (1993),4.833333333333333,2015-01-09 23:51:32
16,549,Thirty-Two Short Films About Glenn Gould (1993),4.833333333333333,2015-02-03 04:50:25
17,82,Antonia's Line (Antonia) (1995),4.75,2015-01-31 03:19:49
18,82,Antonia's Line (Antonia) (1995),4.75,2015-03-05 22:47:40
19,1117,"Eighth Day, The (Huitième jour, Le) (1996)",4.75,2015-01-03 22:32:41
20,1117,"Eighth Day, The (Huitième jour, Le) (1996)",4.75,2015-01-28 21:56:16
21,1534,"Bonheur, Le (1965)",4.75,2015-01-11 15:02:59
22,1534,"Bonheur, Le (1965)",4.75,2015-03-04 18:01:35
23,156,Blue in the Face (1995),4.5,2015-02-28 21:51:50
24,270,Love Affair (1994),4.5,2015-01-15 02:22:53
25,325,National Lampoon's Senior Trip (1995),4.5,2015-03-11 09:58:43
26,581,"Celluloid Closet, The (1995)",4.5,2015-01-31 22:03:23
27,632,Land and Freedom (Tierra y libertad) (1995),4.5,2015-02-17 11:36:29
28,632,Land and Freedom (Tierra y libertad) (1995),4.5,2015-03-28 14:09:10
29,702,Faces (1968),4.5,2015-01-15 17:49:45
